approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
overlap,8,7,OVL-C0808,new,,,,,,,,0;10;9;5;4;2,OVL-C0701;OVL-C0711;OVL-C0710;OVL-C0706;OVL-C0705;OVL-C0703
overlap,8,8,OVL-C0809,inherited,7,8,OVL-C0709,39,0.750000,0.829787,0.886364,8;10;2,OVL-C0709;OVL-C0711;OVL-C0703
overlap,8,9,OVL-C0810,inherited,7,9,OVL-C0710,22,0.500000,0.880000,0.536585,9;2;12;6;0;1,OVL-C0710;OVL-C0703;OVL-C0713;OVL-C0707;OVL-C0701;OVL-C0702
overlap,8,10,OVL-C0811,inherited,7,7,OVL-C0708,24,0.470588,0.489796,0.923077,7;10,OVL-C0708;OVL-C0711
overlap,8,11,OVL-C0812,new,,,,,,,,0;8;7;6;4;2;1,OVL-C0701;OVL-C0709;OVL-C0708;OVL-C0707;OVL-C0705;OVL-C0703;OVL-C0702
overlap,8,12,OVL-C0813,new,,,,,,,,7,OVL-C0708
overlap,8,13,OVL-C0814,inherited,7,11,OVL-C0712,18,0.857143,1.000000,0.857143,11;3,OVL-C0712;OVL-C0704
overlap,8,14,OVL-C0815,new,,,,,,,,4,OVL-C0705
overlap,9,0,OVL-C0901,inherited,8,1,OVL-C0802,85,0.551948,0.779817,0.653846,1;0;4;2;11;5,OVL-C0802;OVL-C0801;OVL-C0805;OVL-C0803;OVL-C0812;OVL-C0806
overlap,9,1,OVL-C0902,inherited,8,4,OVL-C0805,47,0.431193,0.810345,0.479592,4;0;11;8;1;7;5;3,OVL-C0805;OVL-C0801;OVL-C0812;OVL-C0809;OVL-C0802;OVL-C0808;OVL-C0806;OVL-C0804
overlap,9,2,OVL-C0903,inherited,8,2,OVL-C0803,65,0.670103,0.783133,0.822785,2;12;1;13;5;3,OVL-C0803;OVL-C0813;OVL-C0802;OVL-C0814;OVL-C0806;OVL-C0804
overlap,9,3,OVL-C0904,inherited,8,0,OVL-C0801,55,0.462185,0.504587,0.846154,0;1;7;4;2,OVL-C0801;OVL-C0802;OVL-C0808;OVL-C0805;OVL-C0803
overlap,9,4,OVL-C0905,inherited,8,3,OVL-C0804,54,0.739726,0.870968,0.830769,3;5;2;14;11;4,OVL-C0804;OVL-C0806;OVL-C0803;OVL-C0815;OVL-C0812;OVL-C0805
overlap,9,5,OVL-C0906,inherited,8,7,OVL-C0808,39,0.629032,0.886364,0.684211,7;11;1;3;2;0,OVL-C0808;OVL-C0812;OVL-C0802;OVL-C0804;OVL-C0803;OVL-C0801
overlap,9,6,OVL-C0907,inherited,8,6,OVL-C0807,47,0.824561,0.959184,0.854545,6;1;9;8;3,OVL-C0807;OVL-C0802;OVL-C0810;OVL-C0809;OVL-C0804
overlap,9,7,OVL-C0908,inherited,8,9,OVL-C0810,38,0.844444,0.926829,0.904762,9;6;2;0,OVL-C0810;OVL-C0807;OVL-C0803;OVL-C0801
overlap,9,8,OVL-C0909,inherited,8,8,OVL-C0809,36,0.734694,0.818182,0.878049,8;5;3;11,OVL-C0809;OVL-C0806;OVL-C0804;OVL-C0812
overlap,9,9,OVL-C0910,inherited,8,5,OVL-C0806,38,0.745098,0.775510,0.950000,5,OVL-C0806
overlap,9,10,OVL-C0911,inherited,8,10,OVL-C0811,26,0.928571,1.000000,0.928571,10;12;11,OVL-C0811;OVL-C0813;OVL-C0812
overlap,9,11,OVL-C0912,inherited,8,13,OVL-C0814,20,0.909091,0.952381,0.952381,13,OVL-C0814
overlap,9,12,OVL-C0913,inherited,8,12,OVL-C0813,18,0.782609,0.818182,0.947368,12;1,OVL-C0813;OVL-C0802
overlap,10,0,OVL-C1001,new,,,,,,,,1;5;4;3;0;9;8;7,OVL-C0902;OVL-C0906;OVL-C0905;OVL-C0904;OVL-C0901;OVL-C0910;OVL-C0909;OVL-C0908
overlap,10,1,OVL-C1002,inherited,9,3,OVL-C0904,44,0.444444,0.676923,0.564103,3;0;7;5;8;1;4;2,OVL-C0904;OVL-C0901;OVL-C0908;OVL-C0906;OVL-C0909;OVL-C0902;OVL-C0905;OVL-C0903
overlap,10,2,OVL-C1003,inherited,9,2,OVL-C0903,62,0.673913,0.784810,0.826667,2;0;12;4,OVL-C0903;OVL-C0901;OVL-C0913;OVL-C0905
overlap,10,3,OVL-C1004,inherited,9,1,OVL-C0902,40,0.327869,0.408163,0.625000,1;0;3;7,OVL-C0902;OVL-C0901;OVL-C0904;OVL-C0908
