approach,event_id,event_type,from_snapshot,to_snapshot,source_local_ids,source_observation_ids,target_local_ids,target_observation_ids,source_count,target_count,overlap_sizes,jaccard_scores,prospective_stabilities,retrospective_stabilities,relation_qualifiers
overlap,OVL-E0152,split,10,11,5,OVL-C1006,6;0,OVL-C1107;OVL-C1101,1,2,22;27,0.278481;0.195652,0.415094;0.509434,0.458333;0.241071,both;prospective
overlap,OVL-E0153,merge,10,11,6;5,OVL-C1007;OVL-C1006,0,OVL-C1101,2,1,41;27,0.338843;0.195652,0.820000;0.509434,0.366071;0.241071,prospective;prospective
overlap,OVL-E0154,merge,10,11,0;14;10,OVL-C1001;OVL-C1015;OVL-C1011,1,OVL-C1102,3,1,41;18;14,0.297101;0.185567;0.126126,0.493976;0.947368;0.482759,0.427083;0.187500;0.145833,both;prospective;prospective
overlap,OVL-E0155,continuation,10,11,2,OVL-C1003,2,OVL-C1103,1,1,68,0.790698,0.906667,0.860759,both
overlap,OVL-E0156,continuation,10,11,1,OVL-C1002,3,OVL-C1104,1,1,49,0.462264,0.628205,0.636364,both
overlap,OVL-E0157,continuation,10,11,9,OVL-C1010,4,OVL-C1105,1,1,27,0.442623,0.794118,0.500000,both
overlap,OVL-E0158,continuation,10,11,7,OVL-C1008,5,OVL-C1106,1,1,38,0.666667,0.883721,0.730769,both
overlap,OVL-E0159,continuation,10,11,3,OVL-C1004,7,OVL-C1108,1,1,33,0.434211,0.515625,0.733333,both
overlap,OVL-E0160,continuation,10,11,8,OVL-C1009,8,OVL-C1109,1,1,32,0.711111,0.888889,0.780488,both
overlap,OVL-E0161,continuation,10,11,4,OVL-C1005,9,OVL-C1110,1,1,29,0.446154,0.460317,0.935484,both
overlap,OVL-E0162,continuation,10,11,11,OVL-C1012,10,OVL-C1111,1,1,25,0.806452,0.862069,0.925926,both
overlap,OVL-E0163,continuation,10,11,13,OVL-C1014,11,OVL-C1112,1,1,18,0.562500,0.720000,0.720000,both
overlap,OVL-E0164,continuation,10,11,12,OVL-C1013,12,OVL-C1113,1,1,16,0.571429,0.615385,0.888889,both
